File_Name,Lat,Lon
72507914787,41.53333,-71.28333
72508014740,41.9375,-72.6819
72508454767,41.74194,-72.18361
72508554756,42.57,-72.29111
72508654734,41.37139,-73.48278
72508714752,41.73611,-72.65056
72508854733,42.58417,-70.9175
72509014739,42.3606,-71.0097
72509854704,42.19083,-71.17361
72510094746,42.2706,-71.8731
72510314712,40.37338,-75.95924
72510514770,40.82056,-76.86417
72510704780,42.55194,-71.75583
72510954782,40.23802,-75.55493
72511354786,40.33015,-75.12292
72511493778,39.91806,-76.87417
72511654737,40.12028,-76.29444
72511814751,40.21722,-76.85139
72512854739,40.85,-77.85
72513014777,41.3336,-75.7269
72514014778,41.2433,-76.9217
72514454723,40.43333,-76.56667
72514554746,41.70139,-74.795
72514654773,43.34972,-76.38472
72515004725,42.2068,-75.98
72515594761,42.48333,-76.46667
72515614748,42.15944,-76.89194
72515754757,42.10944,-77.99194
72516594737,43.53333,-72.95
72517014737,40.64985,-75.44771
72518014735,42.74722,-73.79912
72518699999,44.681854,-75.4655
72519014771,43.1111,-76.1038
72519454778,42.6425,-77.05639
72519664775,43.23389,-75.41167
72520399999,40.677375,-77.626828
72522014750,43.33845,-73.61028
72529014768,43.1167,-77.6767
72543454789,41.13889,-75.37944
72551403757,38.14167,-76.42917
72605014745,43.2049,-71.50274
72605504743,43.08333,-70.81667
72605654791,43.27806,-70.92222
72606014764,43.64222,-70.30444
72606464709,43.39361,-70.70778
72607014606,44.7978,-68.8185
72607314615,44.53333,-69.66667
72607714616,44.45,-68.36667
72607994601,44.06667,-69.1
72611454771,44.53444,-72.61444
72611554740,43.34361,-72.51778
72611694765,43.62639,-72.30472
72614054742,44.42,-72.0194
72614594705,44.2035,-72.5623
72615554736,43.56667,-71.43333
72616094700,44.57611,-71.17861
72616354770,42.805,-72.00361
72616454728,44.3675,-71.545
72616594721,42.9,-72.26667
72616654781,42.89351,-73.24876
72617014742,44.4683,-73.1499
72618354772,43.99056,-70.9475
72618494709,44.05,-70.28333
72618514605,44.3155,-69.7972
72619094626,45.46222,-69.59528
72619614610,45.6477,-68.6925
72622394725,44.93583,-74.84583
72622564776,44.65,-73.46667
72622794790,43.98867,-76.02623
72622894740,44.38528,-74.20667
72713594623,43.96361,-69.71167
74000154793,41.19924,-74.62599
74207864773,43.77917,-71.75361
74370014715,44.05,-75.73333
74394514710,42.92963,-71.43566
74394654754,42.78333,-71.51667
74410414763,42.42685,-73.28907
74486094789,40.63915,-73.76401
74486454787,40.73417,-73.41694
74486514719,40.84361,-72.63222
74490494723,42.71722,-71.12389
74490714753,42.2123,-71.1137
74491014703,42.2,-72.53333
74491514775,42.15778,-72.71611
74499404741,42.85,-73.95
74594013705,38.81667,-76.86667
74594493784,39.2814,-76.6111
74594693786,38.30833,-75.12389
74596603726,39.00833,-74.90806
74598013702,37.08278,-76.36028
99371199999,36.95,-76.33
99404699999,41.28,-70.1
99406099999,43.97,-68.13
99414099999,41.4,-71.03
99427099999,42.97,-70.62
99437099999,43.78,-68.86
99440099999,38.9,-76.44
99475099999,41.31,-72.08
99497199999,42.35,-71.05
99726499999,43.46,-76.51
99727099999,39.35,-74.42
99727199999,40.701,-74.014
99727299999,40.639,-74.146
99727399999,41.7,-71.17
99727499999,41.52,-70.67
99727599999,43.65,-70.25
99727799999,41.72,-71.33
99727899999,41.8,-71.4
99727999999,41.7,-71
99728099999,40.8,-73.77
99728199999,38.78,-75.12
99728299999,41.05,-71.97
99728399999,41.35,-72.08
99728499999,41.28,-72.88
99728599999,41.5,-71.32
99728699999,39.93,-75
99728799999,44.9,-66.98
99728899999,41.58,-71.4
99728999999,40.47,-74
99729099999,41.17,-73.18
99729499999,41.637,-71.339
99729699999,39.27,-76.57
99729799999,38.57,-76.07
99730099999,39.52,-75.8
99730299999,39.22,-76.52
99730499999,37.98,-76.47
99730899999,37.53,-76.02
99730999999,38.32,-76.45
99731299999,39.2,-76.23
99731399999,37.6,-75.68
99731499999,38.87,-77.02
99731599999,37.22,-76.48
99737199999,37.17,-75.98
99737299999,39.9,-75.57
99768799999,40.08,-74.88
99768899999,38.22,-76.03
99768999999,38.98,-75.1
99769199999,36.93,-76.02
99769499999,39.58,-75.58
99769899999,40.8,-74.75
99770299999,38.13,-76.53
99770799999,43.32,-70.55
99770899999,37.25,-76.33
99774399999,40.65,-74.0666666
99777999999,39.3,-75.3666666
99778199999,38.7166666,-76.65
99778299999,36.9666666,-76.4166666
99799199999,42.0166666,-73.9166666
99799399999,43.05,-70.8333333
99799499999,38.7666666,-76.7
